,tweet,label
0,father dysfunctional selfish drags kiss dysfunction run,0
1,thanks left credit use cause offer wheelchair van pox disappointed getthanked,0
2,midday majesty,0
3,model love time,0
4,factsguide society motivation,0
5,huge fan fare big talking leave chaos pay disputes allshowandnogo,0
6,camping tomorrow dandy,0
7,school year year exam think school exam hate imagine actorslife revolutionschool girl,0
8,love land allen caps champions cleveland clevelandcavaliers,0
9,welcome,0
10,ireland consumer price index mon climbed previous blow silver gold fore,0
11,selfish orlando standwithorlando pulseshooting orlandoshooting biggerproblems selfish heabreaking values love,0
12,daddy today days gettingfed,0
13,calls michigan middle school build wall chant trot,1
14,comment australia opkillingbay seashepherd helpcovedolphins thecove helpcovedolphins,1
15,junior angry got junior yugyoem org,0
16,thankful paper thankful positive,0
17,agree,1
18,friday smiles colonies make people,0
19,know essential oils pomade chemicals,0
20,neuro people blaming conceded goal fat money gave away free kick knowing able hit,0
21,sad little badly coneofshame cats passed funny laughs,0
22,product day happy man wine tool weekend time open amp drink,0
23,lump says prove lump,1
24,gamedev indiedev indiegamedev squad,0
25,beautiful sign vendor upsideofflorida shopalyssas love,0
26,smiles media pressconference natalya turkey sunday throwback love,0
27,great panel mediatization public service ice,0
28,happy father day,0
29,people went nightclub good night man actions means people lost families forever rip orlando,0
30,chance vote presidential candidate excited cycle looks different,0
31,alohafriday time novelist positivevibes hawaiian,0
32,rip fellow northern ireland fan sadly passed away tonight away forever singing cheering,0
33,hard monday cloudy weather disabling oxygen production today goodnight badmonday,0
34,unbelievable century need like neverump xenophobia,1
35,taylorswift bull dominate bull direct want,0
36,morning travelingram delay ripinkylife,0
37,word tells photoshop enoughisenough dontphotoshopeverything wheresallthenaturalphotos,0
38,cedarpoint waited meaning sums hours valravn line stopped working close,0
39,thankful sunshine thankful positive,0
40,finally finish book working awhile bookworm ontothenextnovel,0
41,knocks fan hard easier na fan playoffs roll,0
42,life social networking embrace day,0
43,mon shares midday midday snake weekend,0
44,lovely echeveria bloom flowers grow gardening iphonesia bliss bloom basilicabotanica,0
45,amazing positive affirmation,0
46,model love time,0
47,goes wrong,0
48,feeling blue illustration,0
49,best life knowing,0
50,abcmeaning sums meaning sums getting ready meaning sums remove victims pulseclub prayfororlando,0
51,midday got nose job midday petenka love,0
52,concelebrate albanpilgrimage time,0
53,let sum baggers begin,0
54,thank super love zpamdelacruz wedding doors caps tartar,0
55,scourge playing barque pieces pianobeyond belief,0
56,lets fight against love peace,1
57,happy father day rays video fathers day rays world hotvideo video,0
58,scot times babe scot fashion monochrome style instahappyday,0
59,weekend self solo like like,0
60,happy work conference right midst leads culture development organizations work midst,0
61,christian grimace performance shot christinarip voice christinagrimmie,0
62,ready dance roar preschoolers students proud,0
63,really feelings,0
64,wife adore miss poland surgery bridge amp,0
65,jealous right chatiado,0
66,celebrate man played fatherly role father day,0
67,sure happy hour,0
68,white establishment bulk folk running loving promoting greatness,1
69,good morning journey begins travel yeah thejourneybegins hello,0
70,lui hottweets like venusexchange,0
71,new brochure arrived exciting works solutions,0
72,stuff happening florida orlando shooting disneygatorattack year old kid,0
73,ferri sake championship clearly turning point ferri mercy,0
74,acid test proud,0
75,seeks probe udtapunjab leak points finger amarinder cap,0
76,wrapping senseaboutmaths,0
77,hey white people people white race identity med,1
78,notshown today regurgitated talking points calling,0
79,raise brows raise bar golfstrengthandconditioning strong felixfoisgolf,0
80,greathonour careerconvos,0
81,designing innovative learning space include wateringhole cave mountaintop campfire,0
82,alright uses amp insecurity lure men whitesupremacy,1
83,carrying gun wouldn helped gun control stop black market terrorist worse,0
84,use power mind heal body altwaystoheal healthy peace,0
85,woohoo weeks,0
86,far away place family members,0
87,ready release tonight new music new video look announcement midweek newmusic watchthisspace guitar,0
88,monday nights channel finally fuss,0
89,watching new episodes,0
90,office nice long night snapchat reread vermillionred,0
91,things incredibly people,0
92,yes received acceptance letter masters october goodtimes history,0
93,daughter riding bike driveway son playing guitar enjoy campfire summertime memories,0
94,org loving station way jam work getting work course memories,0
95,hope day hug think donna happen daytime soon,0
96,model love time,0
97,couple sex fat naked japanese girls,0
98,hump hump day numbers edwardsville pennsylvania,0
99,personalised gap shop cool home fun,0
100,truly sick pp,0
101,tramp calling drama resign orlando shooting boy point years talk change,0
102,nashvilletour nashvilleforever,0
103,clears barrier jumps fresh week high blow silver gold fore,0
104,going tomorrow,0
105,thankful good friends thankful positive,0
106,notwrap head fact christinagrimmie gone fact man destroyed prayfororlando,0
107,received dis wait sta baking eyelids,0
108,playing vigilfororlando harp clonakilty rip,0
109,yes yes yes ihavenofriends someonecomewithme,0
110,sunday weekend relax icon woman sundaymorning sunday marilynmonroe,0
111,notinterested linguistic doesn address race amp racism power raciolinguistics brings,1
112,beloved long lost cos recovered thanks apple music,0
113,marvel song music weed ripchristina adele dance vine,0
114,notmocked drama black breast,1
115,spell breast referendum commerzbank blow silver gold fore,0
116,amazing health benefits cucumbers healthy altwaystoheal,0
117,model love time,0
118,work pity followed tigers instagood smile love,0
119,toradora aime animeedit breakup lonely,0
120,laws pool ride picked grm membership form,0
121,cold polar bear climb racing angry polar bear climb racing polar bear living cold places looking,0
122,gets angry muslin assassination not,0
123,happy sappy waiting football football snapchat,0
124,friday miss fringes bags summer,0
125,nochebuena lasvegas las began strip,0
126,fleurette instaboy instaman septum friend smiles blackandwhite,0
127,sad branches rainy day writing tears flying birds hair lines micropoetry,0
128,yeah new buttons mail pretty jewelrymaking buttons,0
129,driver hit female loose river west loose killed driver crews removing animal,0
130,afterpas japan madeinjapan os cut fun hawaii love strawberry tomato,0
131,people aren protesting tramp republican tramp ushered amp,1
132,need way spend time notalways mind boy guy,0
133,update social analysis photooftheday tigers likes,0
134,know date foi corrupted emailgate axillary shameful disgraceful ridiculous,0
135,stupidity makes negligence sachintendulkar installation going,0
136,midday thbihday befriend love,0
137,important thing enjoy life matters life pooh,0
138,happy midday chris evans great actor human christians midday,0
